Book Name,Book Author,Price,URL
The Pie and the Patty-Pan,B. Potter,£375.00,https://rareandantiquebooks.com/first-edition-books/pie-patty-pan-potter/
Goldfinger,Ian Fleming,"£1,250.00",https://rareandantiquebooks.com/first-edition-books/goldfinger-fleming-2/
Raise High the Roof Beam,J. D Salinger,£465.00,https://rareandantiquebooks.com/first-edition-books/salinger/
All Quiet on the Western Front,Remarque,£870.00,https://rareandantiquebooks.com/first-edition-books/western-remarque/
The Hollow,Agatha Christie,£395.00,https://rareandantiquebooks.com/first-edition-books/hollow-christie/
Taken at the Flood,Agatha Christie,£290.00,https://rareandantiquebooks.com/first-edition-books/flood-agatha/
Captains Courageous,Rudyard Kipling,£200.00,https://rareandantiquebooks.com/first-edition-books/courageous-kipling/
Crash,J. G. Ballard,£540.00,https://rareandantiquebooks.com/first-edition-books/crash-ballard-2/
The Code of the Woosters,P. G. Wodehouse,"£1,650.00",https://rareandantiquebooks.com/first-edition-books/code-wodehouse/
You Only Live Twice,Ian Fleming,£650.00,https://rareandantiquebooks.com/first-edition-books/fleming/
The Life and Strange Surprizing Adventures of Robinson Crusoe and The Farther Adventures. 2 vols,Daniel Defoe,"£3,250.00",https://rareandantiquebooks.com/first-edition-books/daniel/
After the Funeral,Agatha Christie,£290.00,https://rareandantiquebooks.com/first-edition-books/funeral-christie/
The Head of Kay’s,P. G. Wodehouse,£850.00,https://rareandantiquebooks.com/first-edition-books/keys-wodehouse/
Hickory Dickory Dock,Agatha Christie,£180.00,https://rareandantiquebooks.com/first-edition-books/hickory-christie/
Three Men,Jerome K. Jerome,£290.00,https://rareandantiquebooks.com/first-edition-books/three-jerome/
The Two Towers,J. R. R. Tolkien,£650.00,https://rareandantiquebooks.com/first-edition-books/towers-tolkien/
The Spy Who Loved Me,Ian Fleming,£595.00,https://rareandantiquebooks.com/first-edition-books/loved-fleming/
Destination Unknown,Agatha Christie,£180.00,https://rareandantiquebooks.com/first-edition-books/destination-christie/
The Lord of the Rings trilogy,J. R. R. Tolkien,"£4,800.00",https://rareandantiquebooks.com/first-edition-books/rings-tolkien/
They,Rudyard Kipling,£550.00,https://rareandantiquebooks.com/first-edition-books/they-kipling/
A Pocket Full of Rye,Agatha Christie,£230.00,https://rareandantiquebooks.com/first-edition-books/pocket-christie/
Paradise Lost,John Milton,"£10,000.00",https://rareandantiquebooks.com/first-edition-books/paradise-milton/
From Russia With Love,Ian Fleming,£950.00,https://rareandantiquebooks.com/first-edition-books/russia-fleming/
Goldfinger,Ian Fleming,"£1,590.00",https://rareandantiquebooks.com/first-edition-books/goldfinger-fleming/
A Tourist in Africa,Evelyn Waugh,£95.00,https://rareandantiquebooks.com/first-edition-books/tourist-waugh/
Sparkling Cyanide,Agatha Christie,£530.00,https://rareandantiquebooks.com/first-edition-books/sparkling-christie/
Perelandra,C. S. Lewis,£180.00,https://rareandantiquebooks.com/first-edition-books/perelandra/
