Book Name,Book Author,Price,URL
The History of Don-Quichote.,"CERVANTES SAAVEDRA, Miguel de.","£120,000.00",https://www.peterharrington.co.uk/the-history-of-don-quichote-139220.html
"Autograph letter signed, to François-Jean de Chastellux, praising his published accounts of his travels in the United States, and suggesting revisions.","JEFFERSON, Thomas.","£110,000.00",https://www.peterharrington.co.uk/catalog/product/view/id/61234/s/autograph-letter-signed-to-francois-jean-de-chastellux-praising-his-published-accounts-of-his-travels-in-the-united-states-and-suggesting-revisions-159181/category/5/
Bag One.,"LENNON, John.","£110,000.00",https://www.peterharrington.co.uk/bag-one-152421.html
Travels into Several Remote Nations of the World.,"SWIFT, Jonathan.","£100,000.00",https://www.peterharrington.co.uk/travels-into-several-remote-nations-of-the-world-152028.html
An Address to the Irish People.,"SHELLEY, Percy Bysshe.","£100,000.00",https://www.peterharrington.co.uk/an-address-to-the-irish-people-101947.html
"The Moonstone: A Dramatic Story, in Three Acts.","COLLINS, Wilkie.","£100,000.00",https://www.peterharrington.co.uk/the-moonstone-a-dramatic-story-in-three-acts-161307.html
"Tableau Economique par M Quesnay, Premier Medecin consultant du Roi. Imprimé dans le Chateau de Versailles avec des caracteres de l'Imprimerie Roiale que l'on fit venir exprès [contemporary manuscript copy, late 1750s, bound with:]","QUESNAY, François.","£97,500.00",https://www.peterharrington.co.uk/books/economics-social-sciences/tableau-economique-par-m-quesnay-premier-medecin-consultant-du-roi-imprime-dans-le-chateau-de-versailles-avec-des-caracteres-de-l-imprimerie-roiale-que-l-on-fit-venir-expres-contemporary-manuscript-copy-late-1750s-bound-wit
Principj di una scienza nuova intorno alla natura delle nazioni.,"VICO, Giambattista.","£97,500.00",https://www.peterharrington.co.uk/principj-di-una-scienza-nuova-intorno-alla-natura-delle-nazioni-152197.html
Red Harvest.,"HAMMETT, Dashiell.","£97,500.00",https://www.peterharrington.co.uk/red-harvest-152811.html
Casino Royale.,"FLEMING, Ian.","£95,000.00",https://www.peterharrington.co.uk/casino-royale-142545.html
Pictures from Italy.,"DICKENS, Charles.","£85,000.00",https://www.peterharrington.co.uk/pictures-from-italy-130416.html
Great Expectations.,"DICKENS, Charles.","£85,000.00",https://www.peterharrington.co.uk/great-expectations-160211.html
"Magnificent autograph letter signed, to François Véron de Forbonnais.","QUESNAY, François.","£75,000.00",https://www.peterharrington.co.uk/magnificent-autograph-letter-signed-to-francois-veron-de-forbonnais-86329.html
The Posthumous Papers of the Pickwick Club.,"DICKENS, Charles.","£75,000.00",https://www.peterharrington.co.uk/the-posthumous-papers-of-the-pickwick-club-90110.html
The Tragedy of Hamlet Prince of Denmark.,"SHAKESPEARE, William.","£75,000.00",https://www.peterharrington.co.uk/the-tragedy-of-hamlet-prince-of-denmark-164365.html
"Opticks: or, A Treatise of the Reflexions, Refractions, Inflexions and Colours of Light.","NEWTON, Isaac.","£75,000.00",https://www.peterharrington.co.uk/opticks-or-a-treatise-of-the-reflexions-refractions-inflexions-and-colours-of-light-167443.html
Nicholas Machiavel's Prince.,"MACHIAVELLI, Niccolò.","£75,000.00",https://www.peterharrington.co.uk/nicholas-machiavel-s-prince-162250.html
"From Russia, With Love.","FLEMING, Ian.","£75,000.00",https://www.peterharrington.co.uk/from-russia-with-love-157381.html
De situ orbis.,STRABO.,"£75,000.00",https://www.peterharrington.co.uk/de-situ-orbis-142408.html
"Autograph letter signed, to the Earl of Shelburne on the sickness of his son.","SMITH, Adam.","£75,000.00",https://www.peterharrington.co.uk/autograph-letter-signed-to-the-earl-of-shelburne-on-the-sickness-of-his-son-167445.html
En attendant Godot.,"BECKETT, Samuel.","£70,000.00",https://www.peterharrington.co.uk/en-attendant-godot-165639.html
"Moby-Dick; or, The Whale.","MELVILLE, Herman.","£67,500.00",https://www.peterharrington.co.uk/moby-dick-or-the-whale-166135.html
The Different Forms of Flowers on Plants of the Same Species.,"DARWIN, Charles.","£67,500.00",https://www.peterharrington.co.uk/the-different-forms-of-flowers-on-plants-of-the-same-species-164452.html
Complete runs of Vpered (Forward) and Proletarii (Proletarians).,"LENIN, Vladimir Ilyich Ulyanov (ed.).","£67,500.00",https://www.peterharrington.co.uk/complete-runs-of-vpered-forward-and-proletarii-proletarians-118242.html
"A portion of the original manuscript of Missionary Travels and Researches in South Africa,","LIVINGSTONE, David.","£65,000.00",https://www.peterharrington.co.uk/a-portion-of-the-original-manuscript-of-missionary-travels-and-researches-in-south-africa-139047.html
In Somnium Scipionis expositio. Saturnalia.,"MACROBIUS, Aurelius Theodosius.","£65,000.00",https://www.peterharrington.co.uk/in-somnium-scipionis-expositio-saturnalia-148861.html
Brighton Rock.,"GREENE, Graham.","£65,000.00",https://www.peterharrington.co.uk/brighton-rock-130202.html
Lexicon graecum [Greek].,SUIDAS.,"£65,000.00",https://www.peterharrington.co.uk/lexicon-graecum-greek-141308.html
Typhoon,"CONRAD, Joseph.","£65,000.00",https://www.peterharrington.co.uk/typhoon-146784.html
De rerum natura libri sex.,"LUCRETIUS CARUS, Titus.","£65,000.00",https://www.peterharrington.co.uk/de-rerum-natura-libri-sex-159872.html
Public Characters of 1803-1804.,"NELSON, Horatio Nelson, Viscount (his copy) - STEPHENS, Alexander.","£65,000.00",https://www.peterharrington.co.uk/public-characters-of-1803-1804.html
Gilt-Edged Bonds.,"FLEMING, Ian.","£60,000.00",https://www.peterharrington.co.uk/gilt-edged-bonds-155969.html
"Several Poems Compiled with great Variety of Wit and Learning, full of Delight","BRADSTREET, Anne.","£60,000.00",https://www.peterharrington.co.uk/several-poems-compiled-with-great-variety-of-wit-and-learning-full-of-delight-157473.html
An Essay concerning Humane Understanding.,"LOCKE, John.","£60,000.00",https://www.peterharrington.co.uk/an-essay-concerning-humane-understanding-168757.html
Queen Mab; A Philosophical Poem: with Notes.,"SHELLEY, Percy Bysshe.","£60,000.00",https://www.peterharrington.co.uk/queen-mab-a-philosophical-poem-with-notes-154460.html
Casino Royale.,"FLEMING, Ian.","£60,000.00",https://www.peterharrington.co.uk/casino-royale-166090.html
De proprietatibus rerum,BARTHOLOMAEUS ANGLICUS.,"£60,000.00",https://www.peterharrington.co.uk/de-proprietatibus-rerum-162141.html
Typed letter signed to Ted Hughes.,"PLATH, Sylvia.","£60,000.00",https://www.peterharrington.co.uk/typed-letter-signed-to-ted-hughes-151515.html
Notre-Dame de Paris.,"HUGO, Victor.","£60,000.00",https://www.peterharrington.co.uk/notre-dame-de-paris-156430.html
The Wind in the Willows.,"GRAHAME, Kenneth.","£60,000.00",https://www.peterharrington.co.uk/the-wind-in-the-willows-152551.html
A Dictionary of the English Language:,"JOHNSON, Samuel.","£57,500.00",https://www.peterharrington.co.uk/a-dictionary-of-the-english-language-149262.html
Essai sur la nature du commerce en général.,"CANTILLON, Richard.","£57,500.00",https://www.peterharrington.co.uk/essai-sur-la-nature-du-commerce-en-general-142911.html
"A Discourse of Trade,","MUN, Thomas.","£55,000.00",https://www.peterharrington.co.uk/a-discourse-of-trade-166381.html
Ulysses.,"JOYCE, James.","£55,000.00",https://www.peterharrington.co.uk/ulysses-153854.html
A Bigger Book with Untitled 329 [Lilacs] ink-jet print.,"HOCKNEY, David.","£55,000.00",https://www.peterharrington.co.uk/a-bigger-book-with-untitled-329-lilacs-ink-jet-print-160190.html
Six signed proofs of original etchings for Ulysses.,"MATISSE, Henri.","£50,000.00",https://www.peterharrington.co.uk/six-signed-proofs-of-original-etchings-for-ulysses-137308.html
Chart of the South Polar Sea.,"HOOKER, Joseph Dalton (his copy).","£50,000.00",https://www.peterharrington.co.uk/chart-of-the-south-polar-sea.html
The Marble Faun.,"FAULKNER, William.","£50,000.00",https://www.peterharrington.co.uk/the-marble-faun-118733.html
"From Russia, With Love.","FLEMING, Ian.","£50,000.00",https://www.peterharrington.co.uk/from-russia-with-love-138052.html
Inaugural Address.,"KENNEDY, John F.","£50,000.00",https://www.peterharrington.co.uk/inaugural-address.html
Original maquette for Five Girls.,"HASKINS, Sam.","£50,000.00",https://www.peterharrington.co.uk/original-maquette-for-five-girls-124448.html
A Series of Eight Sketches in Colour,"CRESSWELL, Samuel Gurney.","£50,000.00",https://www.peterharrington.co.uk/a-series-of-eight-sketches-in-colour-168410.html
"Autograph letter signed, to William Wotton, in Latin.","LEIBNIZ, Gottfried Wilhelm von.","£48,000.00",https://www.peterharrington.co.uk/autograph-letter-signed-to-william-wotton-in-latin.html
Essai sur la nature du commerce en général.,"CANTILLON, Richard.","£47,500.00",https://www.peterharrington.co.uk/essai-sur-la-nature-du-commerce-en-general-154671.html
The Dain Curse.,"HAMMETT, Dashiell.","£47,500.00",https://www.peterharrington.co.uk/the-dain-curse-132576.html
Addresses.,"ROOSEVELT, Franklin D., & Winston S. Churchill.","£47,500.00",https://www.peterharrington.co.uk/addresses-151061.html
Poems.,"KEATS, John.","£47,500.00",https://www.peterharrington.co.uk/poems-113377.html
"Physiocratie, ou constitution naturelle du gouvernement","QUESNAY, François.","£47,500.00",https://www.peterharrington.co.uk/physiocratie-ou-constitution-naturelle-du-gouvernement-153329.html
Diamonds are Forever.,"FLEMING, Ian.","£45,000.00",https://www.peterharrington.co.uk/diamonds-are-forever-155891.html
A Treatise Concerning the Principles of Human Knowlege [sic].,"BERKELEY, George.","£45,000.00",https://www.peterharrington.co.uk/a-treatise-concerning-the-principles-of-human-knowlege-sic-152630.html
A Portrait of the Artist as a Young Man.,"JOYCE, James.","£45,000.00",https://www.peterharrington.co.uk/a-portrait-of-the-artist-as-a-young-man-143088.html
Poems. With Elegies on the Authors Death.,"DONNE, John.","£45,000.00",https://www.peterharrington.co.uk/poems-with-elegies-on-the-authors-death-165749.html
"A frutefull pleasaunt, & wittie worke, of the beste state of a publique weale, and of the newe yle called Utopia:","MORE, Sir Thomas.","£45,000.00",https://www.peterharrington.co.uk/a-frutefull-pleasaunt-wittie-worke-of-the-beste-state-of-a-publique-weale-and-of-the-newe-yle-called-utopia-165174.html
"A Journal of the Voyage to the South Seas,","PARKINSON, Sydney.","£45,000.00",https://www.peterharrington.co.uk/a-journal-of-the-voyage-to-the-south-seas-165855.html
The Haggadah.,"SZYK, Artur (illus.); ROTH, Cecil (ed.).","£45,000.00",https://www.peterharrington.co.uk/the-haggadah.html
Casino Royale.,"FLEMING, Ian.","£45,000.00",https://www.peterharrington.co.uk/casino-royale-168062.html
Architectura Navalis Mercatoria.,"CHAPMAN, Fredrick Henrik af.","£45,000.00",https://www.peterharrington.co.uk/architectura-navalis-mercatoria-169876.html
Projet d'une dixme royale:,"VAUBAN, Sébastien Le Prestre, Seigneur de, Maréchal de France.","£42,500.00",https://www.peterharrington.co.uk/projet-d-une-dixme-royale-152921.html
"Philosophie rurale, ou Économie générale et politique de l'agriculture, réduite à l'ordre immuable des Loix physiques & morales, qui assurent la prospérité des Empires.","MIRABEAU, Victor Riquetti, marquis de, & François Quesnay.","£42,500.00",https://www.peterharrington.co.uk/philosophie-rurale-ou-economie-generale-et-politique-de-l-agriculture-reduite-a-l-ordre-immuable-des-loix-physiques-morales-qui-assurent-la-prosperite-des-empires-146911.html
"The Life of Samuel Johnson,","BOSWELL, James.","£42,500.00",https://www.peterharrington.co.uk/the-life-of-samuel-johnson-141441.html
"Physiocratie, ou constitution naturelle du gouvernement","QUESNAY, François.","£42,500.00",https://www.peterharrington.co.uk/physiocratie-ou-constitution-naturelle-du-gouvernement.html
Électricité.,"RAY, Man.","£42,500.00",https://www.peterharrington.co.uk/electricite-145648.html
La Célestine.,"PICASSO, Pablo - ROJAS, Fernando de.","£40,000.00",https://www.peterharrington.co.uk/la-celestine-166837.html
Poems.,"KEATS, John.","£40,000.00",https://www.peterharrington.co.uk/poems-159970.html
"From Russia, With Love.","FLEMING, Ian.","£40,000.00",https://www.peterharrington.co.uk/from-russia-with-love-168258.html
"Traité de la musique theorique et pratique, contenant les preceptes de la composition.","PARRAN, Antoine.","£37,500.00",https://www.peterharrington.co.uk/traite-de-la-musique-theorique-et-pratique-contenant-les-preceptes-de-la-composition-153288.html
London's Dreadful Visitation:,BILLS OF MORTALITY.,"£37,500.00",https://www.peterharrington.co.uk/london-s-dreadful-visitation-148683.html
The Countesse of Pembrokes Arcadia.,"SIDNEY, Sir Philip.","£37,500.00",https://www.peterharrington.co.uk/the-countesse-of-pembrokes-arcadia-165703.html
"From Russia, With Love.","FLEMING, Ian.","£37,500.00",https://www.peterharrington.co.uk/from-russia-with-love-138464.html
The Charge of the Light Brigade.,"TENNYSON, Alfred, Lord.","£37,500.00",https://www.peterharrington.co.uk/the-charge-of-the-light-brigade-111544.html
Adonais.,"SHELLEY, Percy Bysshe.","£37,500.00",https://www.peterharrington.co.uk/adonais-160200.html
The Happy Prince and Other Tales.,"WILDE, Oscar.","£37,500.00",https://www.peterharrington.co.uk/the-happy-prince-and-other-tales-139228.html
Rumour at Nightfall.,"GREENE, Graham.","£37,500.00",https://www.peterharrington.co.uk/rumour-at-nightfall-72199.html
Casino Royale.,"FLEMING, Ian.","£37,500.00",https://www.peterharrington.co.uk/casino-royale-155872.html
The Bell Jar.,"PLATH, Sylvia, as Victoria Lucas.","£37,500.00",https://www.peterharrington.co.uk/the-bell-jar-150371.html
The Natural History of Barbados.,"HUGHES, Griffith.","£35,000.00",https://www.peterharrington.co.uk/the-natural-history-of-barbados-80069.html
Thunderball.,"FLEMING, Ian.","£35,000.00",https://www.peterharrington.co.uk/thunderball-155920.html
The Hurley Collection.,"ANTARCTICA - HURLEY, Frank.","£35,000.00",https://www.peterharrington.co.uk/the-hurley-collection-169113.html
"Leviathan, or the Matter, Forme, & Power of a Common-wealth Ecclesiastical and Civill.","HOBBES, Thomas.","£35,000.00",https://www.peterharrington.co.uk/leviathan-or-the-matter-forme-power-of-a-common-wealth-ecclesiastical-and-civill.html
"Restauracion politica de España, primera parte, de eos publicos Al rey Don Filipe Tercero nuestro señor.","MONCADA, Sancho de.","£35,000.00",https://www.peterharrington.co.uk/restauracion-politica-de-espa-a-primera-parte-de-eos-publicos-al-rey-don-filipe-tercero-nuestro-se-or-111853.html
"Deipnosophistae, in Greek.",ATHENAEUS of Naucratis.,"£35,000.00",https://www.peterharrington.co.uk/deipnosophistae-in-greek-159868.html
Dracula.,"STOKER, Bram.","£35,000.00",https://www.peterharrington.co.uk/dracula-166915.html
